Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
131,2,Sep 6 2014,2:00 PM,Sat,New Mexico State,34,@,Georgia State,31,ESPN3.com,,
132,2,Sep 6 2014,8:00 PM,Sat,(21) North Carolina,31,,San Diego State,27,ESPNews,,
133,2,Sep 6 2014,6:00 PM,Sat,North Carolina State,46,,Old Dominion,34,ESPN3.com,,
134,2,Sep 6 2014,12:00 PM,Sat,North Texas,43,,Southern Methodist,6,FSN MSG+,,
135,2,Sep 6 2014,3:30 PM,Sat,Northern Illinois,23,@,Northwestern,15,Big Ten Network,,
136,2,Sep 6 2014,7:30 PM,Sat,(16) Notre Dame,31,,Michigan,0,NBC,,
137,2,Sep 6 2014,12:00 PM,Sat,(4) Oklahoma,52,@,Tulsa,7,ABC,,
138,2,Sep 6 2014,3:30 PM,Sat,Oklahoma State,40,,Missouri State,23,FSN MSG+,,
139,2,Sep 6 2014,6:30 PM,Sat,(3) Oregon,46,,(7) Michigan State,27,FOX,,
140,2,Sep 6 2014,10:30 PM,Sat,Oregon State,38,@,Hawaii,30,CBSSN,,
141,2,Sep 6 2014,12:00 PM,Sat,Penn State,21,,Akron,3,ABC,,
142,2,Sep 6 2014,12:00 PM,Sat,Rutgers,38,,Howard,25,Big Ten Network,,
143,2,Sep 6 2014,2:00 PM,Sat,South Alabama,23,@,Kent State,13,ESPN3.com,,
144,2,Sep 6 2014,7:00 PM,Sat,(21) South Carolina,33,,East Carolina,23,ESPN U,,
145,2,Sep 6 2014,3:30 PM,Sat,(14) Southern California,13,@,(13) Stanford,10,ABC,,
146,2,Sep 6 2014,7:00 PM,Sat,Southern Mississippi,26,,Alcorn State,20,,,
147,2,Sep 6 2014,12:00 PM,Sat,Tennessee,34,,Arkansas State,19,SEC Network,,
148,2,Sep 6 2014,9:40 PM,Sat,(9) Texas A&M,73,,Lamar,3,SEC Network,,
149,2,Sep 6 2014,11:00 PM,Sat,Texas Tech,30,@,Texas-El Paso,26,FS1,,
150,2,Sep 6 2014,10:00 PM,Sat,(11) UCLA,42,,Memphis,35,Pac-12 Network,,
151,2,Sep 6 2014,3:00 PM,Sat,Utah,59,,Fresno State,27,Pac-12 Network,,
152,2,Sep 6 2014,8:00 PM,Sat,Utah State,40,,Idaho State,20,Mountain West Network,,
153,2,Sep 6 2014,3:30 PM,Sat,Virginia,45,,Richmond,13,ESPN3.com,,
154,2,Sep 6 2014,8:00 PM,Sat,Virginia Tech,35,@,(8) Ohio State,21,ESPN,,
155,2,Sep 6 2014,6:30 PM,Sat,Wake Forest,23,,Gardner-Webb,7,ESPN3.com,,
156,2,Sep 6 2014,3:00 PM,Sat,Washington,59,,Eastern Washington,52,Pac-12 Network,,
157,2,Sep 6 2014,7:30 PM,Sat,West Virginia,54,,Towson,0,ROOT-PIT,,
158,2,Sep 6 2014,12:00 PM,Sat,(18) Wisconsin,37,,Western Illinois,3,Big Ten Network,,
159,2,Sep 6 2014,10:15 PM,Sat,Wyoming,17,,Air Force,13,ESPN U,,
Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,TV,Notes,
160,3,Sep 11 2014,9:00 PM,Thu,(25) Brigham Young,33,,Houston,25,ESPN,,
161,3,Sep 11 2014,8:00 PM,Thu,Louisiana Tech,42,@,North Texas,21,CBSSN,,
162,3,Sep 12 2014,8:00 PM,Fri,(8) Baylor,63,@,Buffalo,21,ESPN,,
163,3,Sep 12 2014,7:00 PM,Fri,Cincinnati,58,,Toledo,34,ESPN U,,
164,3,Sep 13 2014,7:00 PM,Sat,Abilene Christian,38,@,Troy,35,ESPN3.com,,
165,3,Sep 13 2014,2:00 PM,Sat,Air Force,48,@,Georgia State,38,ESPN3.com,,
166,3,Sep 13 2014,6:00 PM,Sat,(3) Alabama,52,,Southern Mississippi,12,ESPN 2,,
167,3,Sep 13 2014,3:30 PM,Sat,Alabama-Birmingham,41,,Alabama A&M,14,American Sports Network,,
168,3,Sep 13 2014,11:00 PM,Sat,Arizona,35,,Nevada,28,Pac-12 Network,,
169,3,Sep 13 2014,10:00 PM,Sat,(16) Arizona State,38,@,Colorado,24,ESPN U,,
170,3,Sep 13 2014,3:30 PM,Sat,Arkansas,49,@,Texas Tech,28,ABC,,
171,3,Sep 13 2014,12:00 PM,Sat,Boise State,38,@,Connecticut,21,ESPN 2,,
172,3,Sep 13 2014,8:00 PM,Sat,Boston College,37,,(9) Southern California,31,ESPN,,
173,3,Sep 13 2014,12:00 PM,Sat,Bowling Green State,45,,Indiana,42,ESPN U,,
174,3,Sep 13 2014,3:00 PM,Sat,Colorado State,49,,California-Davis,21,FS1,,
