Rk,Wk,Date,Time,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
192,3,Sep 17 2011,,Sat,Southern Mississippi,12:00 AM,,Southeastern Louisiana,6,
193,3,Sep 17 2011,,Sat,(6) Stanford,12:00 AM,@,Arizona,10,
194,3,Sep 17 2011,,Sat,(23) Texas,12:00 AM,@,UCLA,20,
195,3,Sep 17 2011,,Sat,(9) Texas A&M,12:00 AM,,Idaho,7,
196,3,Sep 17 2011,,Sat,(23) Texas Christian,12:00 AM,,Louisiana-Monroe,17,
197,3,Sep 17 2011,,Sat,Texas Tech,12:00 AM,@,New Mexico,13,
198,3,Sep 17 2011,,Sat,Texas-El Paso,12:00 AM,@,New Mexico State,10,
199,3,Sep 17 2011,,Sat,Tulane,12:00 AM,@,Alabama-Birmingham,10,
200,3,Sep 17 2011,,Sat,Utah,12:00 AM,@,Brigham Young,10,
201,3,Sep 17 2011,,Sat,Vanderbilt,12:00 AM,,Mississippi,7,
202,3,Sep 17 2011,,Sat,(13) Virginia Tech,12:00 AM,,Arkansas State,7,
203,3,Sep 17 2011,,Sat,Wake Forest,12:00 AM,,Gardner-Webb,5,
204,3,Sep 17 2011,,Sat,(18) West Virginia,12:00 AM,@,Maryland,31,
205,3,Sep 17 2011,,Sat,Western Michigan,12:00 AM,,Central Michigan,14,
206,3,Sep 17 2011,,Sat,(7) Wisconsin,12:00 AM,,Northern Illinois,7,Chicago IL
207,3,Sep 17 2011,,Sat,Wyoming,12:00 AM,@,Bowling Green State,27,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
208,4,Sep 22 2011,,Thu,Cincinnati,12:00 AM,,North Carolina State,14,
209,4,Sep 23 2011,,Fri,Brigham Young,12:00 AM,,Central Florida,17,
210,4,Sep 24 2011,,Sat,Air Force,12:00 AM,,Tennessee State,24,
211,4,Sep 24 2011,,Sat,Akron,12:00 AM,,Virginia Military Institute,13,
212,4,Sep 24 2011,,Sat,(3) Alabama,12:00 AM,,(14) Arkansas,14,
213,4,Sep 24 2011,,Sat,Arizona State,12:00 AM,,(23) Southern California,22,
214,4,Sep 24 2011,,Sat,Arkansas State,12:00 AM,,Central Arkansas,24,
215,4,Sep 24 2011,,Sat,Auburn,12:00 AM,,Florida Atlantic,14,
216,4,Sep 24 2011,,Sat,Ball State,12:00 AM,,Army,21,
217,4,Sep 24 2011,,Sat,(17) Baylor,12:00 AM,,Rice,31,
218,4,Sep 24 2011,,Sat,(4) Boise State,12:00 AM,,Tulsa,21,
219,4,Sep 24 2011,,Sat,Boston College,12:00 AM,,Massachusetts,17,
220,4,Sep 24 2011,,Sat,Bowling Green State,12:00 AM,@,Miami (OH),23,
221,4,Sep 24 2011,,Sat,(21) Clemson,12:00 AM,,(11) Florida State,30,
222,4,Sep 24 2011,,Sat,Colorado State,12:00 AM,@,Utah State,34,
223,4,Sep 24 2011,,Sat,Connecticut,12:00 AM,@,Buffalo,3,
224,4,Sep 24 2011,,Sat,Duke,12:00 AM,,Tulane,27,
225,4,Sep 24 2011,,Sat,East Carolina,12:00 AM,,Alabama-Birmingham,23,
226,4,Sep 24 2011,,Sat,(15) Florida,12:00 AM,@,Kentucky,10,
227,4,Sep 24 2011,,Sat,Fresno State,12:00 AM,@,Idaho,24,
228,4,Sep 24 2011,,Sat,Georgia,12:00 AM,@,Mississippi,13,
229,4,Sep 24 2011,,Sat,(25) Georgia Tech,12:00 AM,,North Carolina,28,
230,4,Sep 24 2011,,Sat,Hawaii,12:00 AM,,California-Davis,14,
231,4,Sep 24 2011,,Sat,Houston,12:00 AM,,Georgia State,0,
232,4,Sep 24 2011,,Sat,(24) Illinois,12:00 AM,,Western Michigan,20,
233,4,Sep 24 2011,,Sat,Iowa,12:00 AM,,Louisiana-Monroe,17,
234,4,Sep 24 2011,,Sat,Kansas State,12:00 AM,@,Miami (FL),24,
235,4,Sep 24 2011,,Sat,Kent State,12:00 AM,,South Alabama,25,
236,4,Sep 24 2011,,Sat,(2) Louisiana State,12:00 AM,@,(16) West Virginia,21,
237,4,Sep 24 2011,,Sat,Louisiana-Lafayette,12:00 AM,@,Florida International,31,
238,4,Sep 24 2011,,Sat,(22) Michigan,12:00 AM,,San Diego State,7,
239,4,Sep 24 2011,,Sat,Michigan State,12:00 AM,,Central Michigan,7,
240,4,Sep 24 2011,,Sat,Mississippi State,12:00 AM,,Louisiana Tech,20,
241,4,Sep 24 2011,,Sat,(9) Nebraska,12:00 AM,@,Wyoming,14,
242,4,Sep 24 2011,,Sat,North Dakota State,12:00 AM,@,Minnesota,24,
243,4,Sep 24 2011,,Sat,North Texas,12:00 AM,,Indiana,21,
244,4,Sep 24 2011,,Sat,Northern Illinois,12:00 AM,,Cal Poly,30,
245,4,Sep 24 2011,,Sat,Notre Dame,12:00 AM,@,Pittsburgh,12,
246,4,Sep 24 2011,,Sat,Ohio State,12:00 AM,,Colorado,17,
247,4,Sep 24 2011,,Sat,(1) Oklahoma,12:00 AM,,Missouri,28,
248,4,Sep 24 2011,,Sat,(7) Oklahoma State,12:00 AM,@,(8) Texas A&M,29,
249,4,Sep 24 2011,,Sat,(10) Oregon,12:00 AM,@,Arizona,31,
250,4,Sep 24 2011,,Sat,Penn State,12:00 AM,,Eastern Michigan,6,
251,4,Sep 24 2011,,Sat,Rutgers,12:00 AM,,Ohio,26,
252,4,Sep 24 2011,,Sat,Sam Houston State,12:00 AM,@,New Mexico,45,
253,4,Sep 24 2011,,Sat,San Jose State,12:00 AM,,New Mexico State,24,
254,4,Sep 24 2011,,Sat,(12) South Carolina,12:00 AM,,Vanderbilt,3,
255,4,Sep 24 2011,,Sat,(18) South Florida,12:00 AM,,Texas-El Paso,24,
256,4,Sep 24 2011,,Sat,Southern Methodist,12:00 AM,@,Memphis,0,
257,4,Sep 24 2011,,Sat,Southern Mississippi,12:00 AM,@,Virginia,24,
258,4,Sep 24 2011,,Sat,Southern Utah,12:00 AM,@,Nevada-Las Vegas,16,
259,4,Sep 24 2011,,Sat,Syracuse,12:00 AM,,Toledo,30,
260,4,Sep 24 2011,,Sat,Temple,12:00 AM,@,Maryland,7,
261,4,Sep 24 2011,,Sat,(20) Texas Christian,12:00 AM,,Portland State,13,
262,4,Sep 24 2011,,Sat,Texas Tech,12:00 AM,,Nevada,34,
263,4,Sep 24 2011,,Sat,Troy,12:00 AM,,Middle Tennessee State,35,
264,4,Sep 24 2011,,Sat,UCLA,12:00 AM,@,Oregon State,19,
265,4,Sep 24 2011,,Sat,(13) Virginia Tech,12:00 AM,@,Marshall,10,
266,4,Sep 24 2011,,Sat,Washington,12:00 AM,,California,23,
267,4,Sep 24 2011,,Sat,(6) Wisconsin,12:00 AM,,South Dakota,10,
Rk,Wk,Date,,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
268,5,Sep 29 2011,,Thu,Houston,12:00 AM,@,Texas-El Paso,42,
269,5,Sep 29 2011,,Thu,Pittsburgh,12:00 AM,,(16) South Florida,17,
270,5,Sep 30 2011,,Fri,Brigham Young,12:00 AM,,Utah State,24,
271,5,Oct 1 2011,,Sat,Air Force,12:00 AM,@,Navy,34,
272,5,Oct 1 2011,,Sat,(3) Alabama,12:00 AM,@,(12) Florida,10,
273,5,Oct 1 2011,,Sat,(25) Arizona State,12:00 AM,,Oregon State,20,
274,5,Oct 1 2011,,Sat,(18) Arkansas,12:00 AM,,(14) Texas A&M,38,Arlington TX
275,5,Oct 1 2011,,Sat,Arkansas State,12:00 AM,@,Western Kentucky,22,
276,5,Oct 1 2011,,Sat,Army,12:00 AM,,Tulane,6,
277,5,Oct 1 2011,,Sat,Auburn,12:00 AM,@,(10) South Carolina,13,
278,5,Oct 1 2011,,Sat,(4) Boise State,12:00 AM,,Nevada,10,
279,5,Oct 1 2011,,Sat,Central Michigan,12:00 AM,,Northern Illinois,41,
280,5,Oct 1 2011,,Sat,Cincinnati,12:00 AM,@,Miami (OH),0,
281,5,Oct 1 2011,,Sat,(13) Clemson,12:00 AM,@,(11) Virginia Tech,3,
282,5,Oct 1 2011,,Sat,Duke,12:00 AM,@,Florida International,27,
283,5,Oct 1 2011,,Sat,Eastern Michigan,12:00 AM,,Akron,23,
284,5,Oct 1 2011,,Sat,Georgia,12:00 AM,,Mississippi State,10,
285,5,Oct 1 2011,,Sat,(21) Georgia Tech,12:00 AM,@,North Carolina State,35,
286,5,Oct 1 2011,,Sat,Hawaii,12:00 AM,@,Louisiana Tech,26,
287,5,Oct 1 2011,,Sat,(24) Illinois,12:00 AM,,Northwestern,35,
288,5,Oct 1 2011,,Sat,Kansas State,12:00 AM,,(15) Baylor,35,
289,5,Oct 1 2011,,Sat,(1) Louisiana State,12:00 AM,,Kentucky,7,
290,5,Oct 1 2011,,Sat,Louisiana-Lafayette,12:00 AM,,Florida Atlantic,34,
291,5,Oct 1 2011,,Sat,Marshall,12:00 AM,@,Louisville,13,
292,5,Oct 1 2011,,Sat,Maryland,12:00 AM,,Towson,3,
293,5,Oct 1 2011,,Sat,Miami (FL),12:00 AM,,Bethune-Cookman,14,
294,5,Oct 1 2011,,Sat,(19) Michigan,12:00 AM,,Minnesota,0,
295,5,Oct 1 2011,,Sat,Michigan State,12:00 AM,@,Ohio State,7,
296,5,Oct 1 2011,,Sat,Middle Tennessee State,12:00 AM,,Memphis,31,
297,5,Oct 1 2011,,Sat,Mississippi,12:00 AM,@,Fresno State,28,
